Name,Party,Votes,Constituency,Region
NSANZUGWANKO Daniel Nicodemus,CCM,25336,Kasulu Mjini,Kigoma
CHUBWA Mbonimpaye Optatus,CHADEMA,2116,Kasulu Mjini,Kigoma
KASYOME Ester Obedi,CUF,607,Kasulu Mjini,Kigoma
FATUMA Hamisi Magulati,DP,77,Kasulu Mjini,Kigoma
BUNYAGA Gideon Boniface,NCCR MAGEUZI,3488,Kasulu Mjini,Kigoma
YASSIN Kisembe Samwel,NRA,112,Kasulu Mjini,Kigoma
GOODLUCK Alphonce Kimali,ACT,4674,Buhigwe,Kigoma
OBAMA Albert Ntabaliba,CCM,295,Buhigwe,Kigoma
BASILIUS Ntizirusha Budida,CHADEMA,19570,Buhigwe,Kigoma
THOMAS D.C Malima,CUF,573,Buhigwe,Kigoma
AZORY Nditije Mwomela Mteko,NCCR MAGEUZI,5306,Buhigwe,Kigoma
LEOPOLD Heneriko Muhagaze,ACT,775,Buyungu,Kigoma
ENG. CHIZA Christopher Kajoro,CCM,22984,Buyungu,Kigoma
BILAGO Kasuku Samson,CHADEMA,23041,Buyungu,Kigoma
MAWAZO Metusela Athanas,NCCR MAGEUZI,1237,Buyungu,Kigoma
THOMAS Emmanuel Msasa,ACT,14664,Kasulu Vijijini,Kigoma
VUMA Holle Augustine,CCM,36940,Kasulu Vijijini,Kigoma
HIDAYA Hamisi Magulati,DP,418,Kasulu Vijijini,Kigoma
BUYOGERA Agripina Zaituni,NCCR MAGEUZI,19941,Kasulu Vijijini,Kigoma
SAMBARIYOKA Hassan Sambiro,NRA,318,Kasulu Vijijini,Kigoma
EDGAR Mkosamali Francis,ACT,5288,Muhambwe,Kigoma
ENG. ATASHASTA Justus Nditiye,CCM,27225,Muhambwe,Kigoma
MAPIGANO Nduhilubusa,CHAUMMA,8863,Muhambwe,Kigoma
MKOSAMALI Francis Felix,NCCR MAGEUZI,21630,Muhambwe,Kigoma
DR. ALEX Andrea Kitumo,ACT,9263,Kigoma Kaskazini,Kigoma
MVANO Rashidi Ramadhani,ADC,205,Kigoma Kaskazini,Kigoma
ANZERANI Abdul Ramadhani,APPT MAENDELEO,68,Kigoma Kaskazini,Kigoma
SELEMANI Saidi Msanu,CCK,234,Kigoma Kaskazini,Kigoma
PETER Joseph Serukamba,CCM,32275,Kigoma Kaskazini,Kigoma
YARED Jonas Fubusa,CHADEMA,14685,Kigoma Kaskazini,Kigoma
LEMBO Robinson Fulgence,CHAUMMA,4973,Kigoma Kaskazini,Kigoma
SITILI Yahya Chuma,CHAUSTA,115,Kigoma Kaskazini,Kigoma
SOZA Leonard Kanoni,DP,1094,Kigoma Kaskazini,Kigoma
MAUA Shauri Kamana,JAHAZI ASILIA,68,Kigoma Kaskazini,Kigoma
ALHAJI JUMA Athumani Matete,NRA,207,Kigoma Kaskazini,Kigoma
MWITO Juma Khairallah,SAU,31,Kigoma Kaskazini,Kigoma
TATU Saidi Hussein,UMD,16,Kigoma Kaskazini,Kigoma
BAKEMA Said Rashid,ACT,7862,Kigoma Kusini,Kigoma
BIDYANGUZE Nashon William,ADA TADEA,6382,Kigoma Kusini,Kigoma
HASNA Sudi Katunda Mwilima,CCM,34453,Kigoma Kusini,Kigoma
SALA Michael Ntahiye,DP,218,Kigoma Kusini,Kigoma
KAFULILA David Zacharia,NCCR MAGEUZI,33382,Kigoma Kusini,Kigoma
BUNI Abdul Ramole,ACT,634,Moshi Mjini,Kilimanjaro
DAVIS Elisa Mosha,CCM,26920,Moshi Mjini,Kilimanjaro
JAPHARY Raphael Michael,CHADEMA,51646,Moshi Mjini,Kilimanjaro
KIRETI Kamasho Isaac,SAU,181,Moshi Mjini,Kilimanjaro
KITALI Godlizen Ndesanjo,UDP,35,Moshi Mjini,Kilimanjaro
NURU M. Mohamed,ACT-WAZALENDO,305,Hai,Kilimanjaro
NDASHUKU Isaac Alewinga,APPT MAENDELEO,282,Hai,Kilimanjaro
DANSTAN Lucas Mallya,CCM,25696,Hai,Kilimanjaro
MBOWE Freeman Aikaeli,CHADEMA,50953,Hai,Kilimanjaro
DR. CYRIL August Chami,CCM,24415,Moshi Vijijini,Kilimanjaro
KOMU Anthony Calist,CHADEMA,55813,Moshi Vijijini,Kilimanjaro
KIMAMBO Elias Obote,DP,597,Moshi Vijijini,Kilimanjaro
SHIRIMA Innocent Melleck,CCM,16097,Vunjo,Kilimanjaro
MBATIA James Francis,NCCR-MAGEUZI,60187,Vunjo,Kilimanjaro
MREMA Augustino Lyatonga,TLP,6416,Vunjo,Kilimanjaro
PROF. MAGHEMBE Jumanne Abdallah,CCM,21982,Mwanga,Kilimanjaro
KILEWO Henry John,CHADEMA,17366,Mwanga,Kilimanjaro
MSUYA Youngsaviour Anderson,NCCR-MAGEUZI,1774,Mwanga,Kilimanjaro
SAMORA Colman Kanje,CCM,24163,Rombo,Kilimanjaro
SELASINI Joseph Roman,CHADEMA,57232,Rombo,Kilimanjaro
DKT. DAVID Mathayo David,CCM,24222,Same Magharibi,Kilimanjaro
MBAJO Christopher Shangweli,CHADEMA,18067,Same Magharibi,Kilimanjaro
MICHAEL Ezekiel Mshighati,CHAUMMA,317,Same Magharibi,Kilimanjaro
GRAYSON Ezekiel Kigonji,DP,45,Same Magharibi,Kilimanjaro
HALIMA Rajabu Mshana,SAU,95,Same Magharibi,Kilimanjaro
LILIAN Mduma Mwigamba,ACT,518,Same Magharibi,Kilimanjaro
OMBENI Mfariji Luka,APPT MAENDELEO,481,Same Mashariki,Kilimanjaro
MALECELA Anne Kilango,CCM,16477,Same Mashariki,Kilimanjaro
KABOYOKA Naghenjwa Livingstone,CHADEMA,19933,Same Mashariki,Kilimanjaro
LEAH Mboneah Mgheni,JAHAZI ASILIA,72,Same Mashariki,Kilimanjaro
AGGREY Deaisile Mwanri,CCM,18584,Siha,Kilimanjaro
DR. MOLLEL Oloyce Godwin,CHADEMA,22746,Siha,Kilimanjaro
ASHA Bakar Mohamed,ACT,23,Chakechake,Kusini Pemba
FATMA Ayoub Amour,ADC,44,Chakechake,Kusini Pemba
MBARAKA Said Rashid,CCM,1145,Chakechake,Kusini Pemba
SALHA Ali Suleiman,CHAUSTA,16,Chakechake,Kusini Pemba
YUSUPH Kaiza Makame,CUF,4928,Chakechake,Kusini Pemba
MAJID Ali Abdalla,JAHAZI ASILIA,13,Chakechake,Kusini Pemba
SUBIRA Mohamed Rybea,TLP,6,Chakechake,Kusini Pemba
ABASS Mohamed Khatib,UDP,47,Chakechake,Kusini Pemba
RIDHIWAN Khamis Nassib,ACT,17,Chonga,Kusini Pemba
HAMAD Khamis Hamad,ADC,17,Chonga,Kusini Pemba
KHAMIS Moh’d Sleyoum,AFP,48,Chonga,Kusini Pemba
ABDALLA Omar Muya,CCM,1667,Chonga,Kusini Pemba
MBAROUK Khamis Mbarouk,CHAUMMA,51,Chonga,Kusini Pemba
MOHAMED Juma Khatib,CUF,3609,Chonga,Kusini Pemba
SULEIMAN Ali Rashid,TLP,49,Chonga,Kusini Pemba
SULEIMAN Rashid Said,ADC,44,Ole,Kusini Pemba
OMAR Mjaka Ali,CCM,733,Ole,Kusini Pemba
TATU Abdalla Msellem,CHAUSTA,42,Ole,Kusini Pemba
JUMA Hamad Omar,CUF,4464,Ole,Kusini Pemba
KHAMIS Rashid Said,NRA,50,Ole,Kusini Pemba
JABIR Maalim Jabir,ACT,27,Wawi,Kusini Pemba
ISSA Khamis Omar,ADC,109,Wawi,Kusini Pemba
KHAIRAT Said Soud,AFP,107,Wawi,Kusini Pemba
DAUDI (ISMAIL) Khamis Juma,CCM,1306,Wawi,Kusini Pemba
ASHA Hemed Rajab,CHAUMMA,12,Wawi,Kusini Pemba
SHARIFA Ali Khalfan,CHAUSTA,11,Wawi,Kusini Pemba
NGWALI Ahmed Juma,CUF,5122,Wawi,Kusini Pemba
SALMA Bakar Abdallah,NRA,16,Wawi,Kusini Pemba
KOMBO Mohammed Haji,SAU,15,Wawi,Kusini Pemba
MOHAMED Seif Mohamed,TLP,11,Wawi,Kusini Pemba
ASHA Muhammed Ali,UDP,9,Wawi,Kusini Pemba
ZULFA Asaa Ali,UPDP,8,Wawi,Kusini Pemba
KHAMIS Faiz Faraj,ADC,14,Ziwani,Kusini Pemba
KISHORE Mohammed,AFP,9,Ziwani,Kusini Pemba
MOHAMED Othman Omar,CCM,605,Ziwani,Kusini Pemba
NASSOR Suleiman Omar,CUF,5484,Ziwani,Kusini Pemba
ZIADA Khalfan Saleh,TLP,31,Ziwani,Kusini Pemba
SHARIF Bakar Othman,ACT,23,Chambani,Kusini Pemba
MUHAMED Juma Mohammed,ADC,64,Chambani,Kusini Pemba
MOHAMED Abdulrahman Mwinyi,CCM,805,Chambani,Kusini Pemba
HINDU Ismail Abdulla,CHAUSTA,38,Chambani,Kusini Pemba
YUSSUF Salim Hussein,CUF,5345,Chambani,Kusini Pemba
CHANDE Jaffar Juma,ACT,13,Kiwani,Kusini Pemba
MTUMWA Omar Haji,ADC,95,Kiwani,Kusini Pemba
RASHID Abdalla Rashid,CCM,1772,Kiwani,Kusini Pemba
ABDALLA Haji Ali,CUF,3281,Kiwani,Kusini Pemba
SHOKA Jabir Said Shoka,ACT,15,Mkoani,Kusini Pemba
ADAM Ali Mohamed,ADA TADEA,24,Mkoani,Kusini Pemba
ALAWI Saidi Khamis,ADC,17,Mkoani,Kusini Pemba
PROFESA MBARAWA Mnyaa Makame,CCM,3656,Mkoani,Kusini Pemba
TWAHIR Awesu Mohammed,CUF,6734,Mkoani,Kusini Pemba
MOHAMED Omar Hassan,DP,31,Mkoani,Kusini Pemba
THABIT Kombo Dadi,NRA,21,Mkoani,Kusini Pemba
JUMA Khamis Juma,UDP,11,Mkoani,Kusini Pemba
SALUM Abdullshakur,ACT,195,Mtambile,Kusini Pemba
MOHAMED Ali Khamis,ADC,62,Mtambile,Kusini Pemba
KHAMIS Salum Ali,CCM,878,Mtambile,Kusini Pemba
MASOUD Abdalla Salim,CUF,5106,Mtambile,Kusini Pemba
PRIVATUS Evarist,ACT,9,Chwaka,Kusini Unguja
MAULID Yussuf Ali,ADC,25,Chwaka,Kusini Unguja
BHAGWANJI Magania Meisuria,CCM,5353,Chwaka,Kusini Unguja
MTUMWENI Abdalla,CUF,1794,Chwaka,Kusini Unguja
ALI Suleiman Abjeid,JAHAZI ASILIA,26,Chwaka,Kusini Unguja
CHIKU Mbaraka Salmin,TLP,28,Chwaka,Kusini Unguja
VUAI Abdul-quadiri Makame,ACT,9,Tunguu,Kusini Unguja
TATU Juma khatib,ADC,39,Tunguu,Kusini Unguja
MIMINA Khalifa salim,CCM,7435,Tunguu,Kusini Unguja
SHAABAN Iddi Ame,CUF,2636,Tunguu,Kusini Unguja
HASSAN Mrisho Ramadhan,DP,13,Tunguu,Kusini Unguja
DR RAMA Ramadhani,JAHAZI ASILIA,80,Tunguu,Kusini Unguja
SALUM Mwinyi Rehani,CCM,10027,Uzini,Kusini Unguja
ADAM Ali Waziri,CUF,1425,Uzini,Kusini Unguja
PILI Ali Salum,DP,91,Uzini,Kusini Unguja
REHEMA Hassan Kibomi,ACT,34,Makunduchi,Kusini Unguja
HALIMA Mwadini Makame,APPT MAENDELEO,20,Makunduchi,Kusini Unguja
HAJI Ameir Haji Timbe,CCM,8599,Makunduchi,Kusini Unguja
KHATIB Shomari Khatibu,CHAUMMA,107,Makunduchi,Kusini Unguja
ARAFA Mussa Uleid,CUF,1431,Makunduchi,Kusini Unguja
JAFFAR Sanya Jussa,CCM,6089,Paje,Kusini Unguja
BASWIRA Hassan Suleiman,CUF,1569,Paje,Kusini Unguja
KAUNJE Hassani Selemani,CCM,20733,Lindi Mjini,Lindi
BARWANY Salumu Khalfan,CUF,18343,Lindi Mjini,Lindi
MANGUNGU Murtaza Ally,CCM,16303,Kilwa Kaskazini,Lindi
NGOMBARE Vedasto Edgar,CUF,16724,Kilwa Kaskazini,Lindi
HASNAIN Gulamabasi Dewji,CCM,19052,Kilwa Kusini,Lindi
BUNGARA Selemani Saidi,CUF,24644,Kilwa Kusini,Lindi
MACHALILA Fatuma Saidi,UPDP,254,Kilwa Kusini,Lindi
MTANDA Saidi Mohamed,CCM,13165,Mchinga,Lindi
BOBALI Hamidu Hassan,CUF,14776,Mchinga,Lindi
MAHBOUD Abdulazizi Abdallah,AFP,331,Mtama,Lindi
NAPE Moses Nnauye,CCM,28110,Mtama,Lindi
SELEMAN Mathew Luwongo,CHADEMA,13918,Mtama,Lindi
MCHINJITA Rashidi Isihaka,CUF,10547,Mtama,Lindi
MTESA Imani Omari,ACT,182,Liwale,Lindi
NGAUGA Saidi Ally,ADC,156,Liwale,Lindi
MITAMBO Faith Mohamed,CCM,18327,Liwale,Lindi
KIGWALILO Lathifah H. Chande,CHADEMA,1549,Liwale,Lindi
KUCHAUKA Zuberi Mohamedi,CUF,21692,Liwale,Lindi
MOSHI Emanuel Matapula,ACT,300,Nachingwea,Lindi
NANJASE Haji Nanjase,ADC,647,Nachingwea,Lindi
MASALA Hassan Elias,CCM,45116,Nachingwea,Lindi
DR. MAHADHI Yusuph Mmoto,CHADEMA,29807,Nachingwea,Lindi
MEMBE Augustino Jordan,CUF,2534,Nachingwea,Lindi
MAJALIWA Kassim Majaliwa,CCM,31281,Ruangwa,Lindi
MAKOTA Omari Ismail,CUF,25536,Ruangwa,Lindi
BIBIANA Paul Malya,ACT-WAZALENDO,548,Babati Mjini,Manyara
CHAMBIRI Kisyeri Werema,CCM,16829,Babati Mjini,Manyara
GEKUL Pauline Philipo,CHADEMA,22033,Babati Mjini,Manyara
REHEMA Samti Minjo,NCCR MAGEUZI,95,Babati Mjini,Manyara
MANASE Nade Boi,UPDP,35,Babati Mjini,Manyara
MUSTAPHA Akunaay Boay,ACT,4877,Mbulu Mjini,Manyara
ISSAAY Zacharia Paulo,CCM,20522,Mbulu Mjini,Manyara
PAULO Herman Sulle,CHADEMA,20306,Mbulu Mjini,Manyara
MUNGURE Emanuel Lazaro,NCCR MAGEUZI,146,Mbulu Mjini,Manyara
FRANCIS Faustine Matle,ACT-WAZALENDO,1011,Babati Vijijini,Manyara
JITU Vrajlal Soni,CCM,56843,Babati Vijijini,Manyara
TARA Lawrence Surumbu,CHADEMA,52683,Babati Vijijini,Manyara
CASTO Simon Kijuu,ACT-WAZALENDO,1074,Hanang,Manyara
NAGU Mary Michael,CCM,51697,Hanang,Manyara
MAGOMA Rashid Derick,CHADEMA,43841,Hanang,Manyara
JUMA Ally Nyeresa,ACT-WAZALENDO,263,Kiteto,Manyara
PAPIAN Emmanuel John,CCM,43455,Kiteto,Manyara
KIDAWA Athumani Iyavu,CHADEMA,27886,Kiteto,Manyara
HASSAN Erasto Losioki,CUF,1281,Kiteto,Manyara
KIMWAGA Jonas Kelani,NCCR-MAGEUZI,98,Kiteto,Manyara
MASHAKA Saidi Fundi,SAU,169,Kiteto,Manyara
HERSON Nade Baynit,ACT,230,Mbulu Vijijini,Manyara
FLATEI Gregory Massay,CCM,40149,Mbulu Vijijini,Manyara
AWEDA Mikael Petro,CHADEMA,24154,Mbulu Vijijini,Manyara
PETRO Kosmas Hhari,NCCR - MAGEUZI,151,Mbulu Vijijini,Manyara
PAULO Cecil Mwanache,ACT,281,Simanjiro,Manyara
CHRISTOPHER Olonyokie Ole Sendeka,CCM,27206,Simanjiro,Manyara
JAMES Kinyasi Millya,CHADEMA,41480,Simanjiro,Manyara
TONGOLA Eliud Eseko,ACT,513,Musoma Mjini,Mara
IBRAHIM Selemani Majubu,ADA TADEA,21,Musoma Mjini,Mara
MAIMUNA Matolah Hassan,ADC,50,Musoma Mjini,Mara
RUTTAGA Sospeter Ruttaga,AFP,25,Musoma Mjini,Mara
VEDASTUS Mathayo Manyinyi,CCM,328,Musoma Mjini,Mara
NYERERE Vincent Josephat,CHADEMA,25549,Musoma Mjini,Mara
GABRIEL Ocharo Aenda,CUF,186,Musoma Mjini,Mara
NYAKITITA Chrisant Ndege,DP,23,Musoma Mjini,Mara
MAKONGORO Jumanne Mohamed,UMD,19,Musoma Mjini,Mara
MAGANJA Yeremia Kulwa,ACT,293,Bunda Mjini,Mara
WASIRA Stephen Masato,CCM,19126,Bunda Mjini,Mara
BULAYA Amos Ester,CHADEMA,28568,Bunda Mjini,Mara
MALAGILA Ascetic Ng’wanamagubu,DP,136,Bunda Mjini,Mara
DKT. LUCAS Kilayenga Webiro,TLP,74,Bunda Mjini,Mara
DEOGRATIUS Meck Mbagi,ACT,356,Tarime Mjini,Mara
KEMBAKI Michael Mwita,CCM,14025,Tarime Mjini,Mara
ESTHER Nicholas Matiko,CHADEMA,20017,Tarime Mjini,Mara
ITENYA Ramadhani,ACT,227,Bunda,Mara
BONIPHACE Mwita Getere,CCM,12512,Bunda,Mara
SULEIMANI Melah Daudi,CHADEMA,7478,Bunda,Mara
MAXMILLIAN Emmanuel Madoto,DP,5860,Bunda,Mara
MUTTAMWEGA Bhatt Mgaywa,ACT,521,Mwibara,Mara
KANGI Alphaxard Lugola,CCM,33845,Mwibara,Mara
CHIRIKO Haruni David,CHADEMA,6675,Mwibara,Mara
CHOGE Richard Magori,ACT,364,Butiama,Mara
SHEM Koren Togoro,ADC,211,Butiama,Mara
MACHANCHU Nyanswi Machanchu,APPT MAENDELEO,128,Butiama,Mara
MKONO Nimrod Elirehemah,CCM,47469,Butiama,Mara
YUSUPH Rashid Kazi,CHADEMA,14451,Butiama,Mara
CHRISTINA Ndengo Nyahurya,UDP,235,Butiama,Mara
WIGINA Josephat Ismail,UMD,46,Butiama,Mara
JOSIAH Kureba Bwire,ACT,809,Musoma Vijijini,Mara
BENARD Buchafwe Mafwimbo,ADC,394,Musoma Vijijini,Mara
PAULO Joel Mabuga,AFP,329,Musoma Vijijini,Mara
FRANK George Maregesi,APPT-MAENDELEO,257,Musoma Vijijini,Mara
Prof. MUHONGO Sospeter Mwijarubi,CCM,41731,Musoma Vijijini,Mara
MBURA Zakaria Chiragwile,CHADEMA,24984,Musoma Vijijini,Mara
RUGOBHI Masige Makunja,UMD,448,Musoma Vijijini,Mara
ROBERT Mugabe Kahunge,ADC,384,Rorya,Mara
LAMECK Okambo Airo,CCM,57914,Rorya,Mara
OWAWA Stephen Juma Johnson,CHADEMA,42532,Rorya,Mara
BURITO Thomas Samwel,ACT,1445,Serengeti,Mara
DR. KEBWE Stephen Kebwe,CCM,39232,Serengeti,Mara
MARWA Ryoba Chacha,CHADEMA,40059,Serengeti,Mara
MUNIKO Imaculata Severini,CUF,328,Serengeti,Mara
MOSENA John Nyambabe,NCCR-MAGEUZI,408,Serengeti,Mara
CHARLES Mwera Nyanguru,ACT,1923,Tarime Vijijini,Mara
KANGOYE Christopher Ryoba,CCM,45091,Tarime Vijijini,Mara
HECHE John Wegesa,CHADEMA,51830,Tarime Vijijini,Mara
CHING’WA Migera Chacha,CHAUSTA,403,Tarime Vijijini,Mara
LUSEKELO Amimu Asheli,ACT,792,Mbeya Mjini,Mbeya
SAMBWEE Mwalyego Shitambala,CCM,54296,Mbeya Mjini,Mbeya
MBILINYI Osmund Joseph,CHADEMA,108566,Mbeya Mjini,Mbeya
MARY Michael Komba,CHAUSTA,966,Mbeya Mjini,Mbeya
TUMAIN Osward Mwanyalu,MAKINI,116,Mbeya Mjini,Mbeya
SICHALWE Frank Mastara,CCM,17220,Tunduma,Mbeya
MWAKAJOKA Frank George,CHADEMA,32442,Tunduma,Mbeya
JAMES Admin Mwakalonge,TLP,85,Tunduma,Mbeya
MWAKATOBE Gwandumi Gwapo Atufwene,ACT,287,Busokelo,Mbeya
MWAKIBETE Atupele Fredy,CCM,18606,Busokelo,Mbeya
MWABUKUSI Boniface Anyisile,CHADEMA,12792,Busokelo,Mbeya
MWAKIFWANGE Ambakisye Simon,TLP,230,Busokelo,Mbeya
MOHAMED Miraji Hussein,ACT,3907,Lupa,Mbeya
MWAMBALASWAVictor Kilasile,CCM,32413,Lupa,Mbeya
KASAKA Njelu Mulugala,CHADEMA,22147,Lupa,Mbeya
MICHAEL Bolgias Nyilawila,ACT,437,Songwe,Mbeya
MULUGO Philipo Augustino,CCM,29814,Songwe,Mbeya
MPOKI Richard Mwankusye,CHADEMA,16165,Songwe,Mbeya
NURU Mlenjela Mwaji,ACT,654,Ileje,Mbeya
MBENE Janet Zebedayo,CCM,27582,Ileje,Mbeya
MBUBA Emmanuel Amanyisye,NCCR-MAGEUZI,14578,Ileje,Mbeya
MOTTO Samwel Andrea,ACT,275,Kyela,Mbeya
MWAKYEMBE Harrison George,CCM,44269,Kyela,Mbeya
MWANYAMAKI Abraham Hebel,CHADEMA,39379,Kyela,Mbeya
ZAMOYONI Peter Mayuka,DP,201,Kyela,Mbeya
KILUFI Modestus Dickson,ACT,20650,Mbarali,Mbeya
HAROON Mulla Pirmohamed,CCM,45384,Mbarali,Mbeya
MWANG’OMBE Liberatus Laurent,CHADEMA,36599,Mbarali,Mbeya
GAMDUST Juma Haji,CUF,316,Mbarali,Mbeya
PWILLAH Getruda Jacobo,NCCR-MAGEUZI,120,Mbarali,Mbeya
NURDIN Ahmed Dadkarim,UPDP,114,Mbarali,Mbeya
ORAN Manase Njeza,CCM,56307,Mbeya Vijijini,Mbeya
BARIKI Osward Mwanyalu,MAKINI,421,Mbeya Vijijini,Mbeya
MWANITEGA Julius Philipo,ACT,732,Mbozi,Mbeya
ZAMBI Godfrey Weston,CCM,34584,Mbozi,Mbeya
HAONGA Pascal Yohana,CHADEMA,36362,Mbozi,Mbeya
ROSE Elasto Mwashambwa,ACT,502,Vwawa,Mbeya
HASUNGA Japhet Ngailonga,CCM,36705,Vwawa,Mbeya
MKISI Fanuel Elias,CHADEMA,35400,Vwawa,Mbeya
SIMWELU Weston Allam,ACT,1156,Momba,Mbeya
DR. SIYAME Luka Jelas,CCM,26260,Momba,Mbeya
SILINDE David Ernest,CHADEMA,26468,Momba,Mbeya
FRANK George Maghoba,ACT,1042,Rungwe,Mbeya
SAUL Henry Amon,CCM,44745,Rungwe,Mbeya
MWAMBIGIJA John David,CHADEMA,43613,Rungwe,Mbeya
NICODEMUS Atuswege Ngwala,DP,620,Rungwe,Mbeya
FRED Osiah Mwandemele,UDP,419,Rungwe,Mbeya
HALUA Ali Hamad,ACT,35,Bububu,Mjini Magharibi
ASYA Hamza Khamis,ADA TADEA,20,Bububu,Mjini Magharibi
ABASS Mohammed Abdulrahman,ADC,84,Bububu,Mjini Magharibi
MWANTAKAJE Haji Juma,CCM,9769,Bububu,Mjini Magharibi
FATMA Othman Said,CHAUMMA,37,Bububu,Mjini Magharibi
JUMA Khamis Juma,CUF,7408,Bububu,Mjini Magharibi
SALUM Ali Abdalla,DP,52,Bububu,Mjini Magharibi
ZULEKHA Said Mohamed,UPDP,22,Bububu,Mjini Magharibi
ZUHURA Bakar Mohammed,ACT,40,Mfenesini,Mjini Magharibi
MTUMWA Faizi Sadiki,ADC,76,Mfenesini,Mjini Magharibi
KANALI (MST) MASOUD Ali Khamis,CCM,4293,Mfenesini,Mjini Magharibi
HASSAN Othman Makame,CUF,2713,Mfenesini,Mjini Magharibi
ISSA Salum Ali,UPDP,20,Mfenesini,Mjini Magharibi
HAMAD Rashid Kombo,ADA-TADEA,28,Mwera,Mjini Magharibi
AZIZI Hamadi Kombo,ADC,42,Mwera,Mjini Magharibi
SUBIRA Jaffar Almas,CCK,32,Mwera,Mjini Magharibi
MAKAME Kassim Makame,CCM,6315,Mwera,Mjini Magharibi
JUMA Mkindwi Dunia,CHAUMMA,64,Mwera,Mjini Magharibi
ALI Ame Ali,CUF,5562,Mwera,Mjini Magharibi
HAJI Ali Nuhu,DP,37,Mwera,Mjini Magharibi
HAJI Omar Salim,ACT,5,Welezo,Mjini Magharibi
SAADA Mkuya Salum,CCM,2579,Welezo,Mjini Magharibi
MWASHAMBA Ali Mohamed,CHAUMMA,22,Welezo,Mjini Magharibi
SALEH Mohammed Saleh,CUF,2253,Welezo,Mjini Magharibi
SULEIMAN Juma Hamad,NRA,22,Welezo,Mjini Magharibi
BAHARIA Mohamed Omar Shaame,UMD,13,Welezo,Mjini Magharibi
AMINA Ali Seya,UPDP,7,Welezo,Mjini Magharibi
CHUMU Juma Makame,ACT,37,Dimani,Mjini Magharibi
HAFIDH Ali Tahir,CCM,4437,Dimani,Mjini Magharibi
FATMA Omar Salum,CHAUMMA,80,Dimani,Mjini Magharibi
ABDULRAZAK Khatib Ramadhan,CUF,2330,Dimani,Mjini Magharibi
BARIK Ali Omar,UPDP,25,Dimani,Mjini Magharibi
ALI Mussa Juma,ADC,45,Fuoni,Mjini Magharibi
ZAKIA Saleh Salum,CCK,3,Fuoni,Mjini Magharibi
ABBAS Ali Hassan,CCM,925,Fuoni,Mjini Magharibi
HAMID Rashid Haroun,CUF,433,Fuoni,Mjini Magharibi
PANDU Haji Pandu,TLP,7,Fuoni,Mjini Magharibi
MWANAISHA Mussa Said,UMD,4,Fuoni,Mjini Magharibi
MWANAKOMBO Hamad Mohammed,UPDP,4,Fuoni,Mjini Magharibi
YAHYA Juma Hamadi,ACT,45,Kiembe Samaki,Mjini Magharibi
SONARA Ali Maulid Ngwali,ADA TADEA,30,Kiembe Samaki,Mjini Magharibi
IBRAHIM Hassanali Mohamedali,CCM,8024,Kiembe Samaki,Mjini Magharibi
KHALID Said Suleiman,CUF,6007,Kiembe Samaki,Mjini Magharibi
ZAITUNI Ali Khamis,ACT,1,Kijito Upele,Mjini Magharibi
SALIM Ali Omar,CCK,73,Kijito Upele,Mjini Magharibi
NAHODHA Shamsi Vuai,CCM,12473,Kijito Upele,Mjini Magharibi
MUHAMED Juma Aminie,CUF,202,Kijito Upele,Mjini Magharibi
AMEIR Hassan Ameir,MAKINI,67,Kijito Upele,Mjini Magharibi
MUZDALFA Faki Mgau,UPDP,79,Kijito Upele,Mjini Magharibi
MUSSA Khalfan Mussa,ACT,12,Mwanakwerekwe,Mjini Magharibi
AHMADA Yahya Abdulwakil,CCM,4096,Mwanakwerekwe,Mjini Magharibi
FAKI Salum Abdalla,CHAUMMA,28,Mwanakwerekwe,Mjini Magharibi
ALI Salim Khamis,CUF,4579,Mwanakwerekwe,Mjini Magharibi
RAMLA Muhdhar Daud,DP,18,Mwanakwerekwe,Mjini Magharibi
KHADIJA Suleiman Hamad,MAKINI,5,Mwanakwerekwe,Mjini Magharibi
WASTARA Abdallah Ndumbikwa,UPDP,8,Mwanakwerekwe,Mjini Magharibi
DR MOHAMMED Othman Ali,ACT,42,Amani,Mjini Magharibi
MUSSA Hassan Mussa,CCM,4279,Amani,Mjini Magharibi
SALAMU Abdalla Juma,CHAUMMA,23,Amani,Mjini Magharibi
KHAMIS Silima Ame,CUF,2934,Amani,Mjini Magharibi
TEACHER Mwalim Khamis Mwalim,MAKINI,24,Amani,Mjini Magharibi
SALMA Daudi Khamis,TLP,13,Amani,Mjini Magharibi
ABDULSAMAD Salum Ali,UMD,47,Amani,Mjini Magharibi
FATMA Ramadhani Mussa,ADC,74,Chumbuni,Mjini Magharibi
AMJADI Ussi Salum Pondeza,CCM,5156,Chumbuni,Mjini Magharibi
ZUHURA Mussa Haji,CHAUMMA,52,Chumbuni,Mjini Magharibi
OMAR Ali Khamis,CUF,4317,Chumbuni,Mjini Magharibi
ALI Haruon Hamad,UMD,22,Chumbuni,Mjini Magharibi
PILI Ameir Mussa,UPDP,45,Chumbuni,Mjini Magharibi
BIMKUBWA Haroub Ali,ADC,78,Jang’Ombe,Mjini Magharibi
KINGI Ali Hassan Omar,CCM,6319,Jang’Ombe,Mjini Magharibi
MOHAMED Yussuf Maalim,CUF,2655,Jang’Ombe,Mjini Magharibi
ASHA Kasim Ali,UMD,26,Jang’Ombe,Mjini Magharibi
FATMA Faki Mgau,UPDP,20,Jang’Ombe,Mjini Magharibi
