Name,Party,Votes,Constituency,Region
MUSTAPHA Hassani Amri,AAFP,313,Singida Mashariki,Singida
REHEMA Swalehe Mjengi,ADC,324,Singida Mashariki,Singida
MTATURU Miraji Jumanne,CCM,25913,Singida Mashariki,Singida
NOEL Joachim Hema,CHADEMA,16546,Singida Mashariki,Singida
HENKU Athuman Issah,CUF,1134,Singida Mashariki,Singida
GWAE Vicenti Philipo,DP,107,Singida Mashariki,Singida
SHABANI Rajabu Musa,NCCR-Mageuzi,110,Singida Mashariki,Singida
MORRIS Thomas Nkongolo,TLP,125,Singida Mashariki,Singida
KING'INYA Protas Nkhotya,UPDP,322,Singida Mashariki,Singida
ANNA Athuman Dauri,ACT-Wazalendo,453,Singida Mjini,Singida
HAJI Haji Lufungulo,ADC,82,Singida Mjini,Singida
SAKINA Mohamedi Soa,CCK,136,Singida Mjini,Singida
MUSSA Ramadhani Sima,CCM,23220,Singida Mjini,Singida
REHEMA James Mkoha,CHADEMA,15467,Singida Mjini,Singida
BIBIANA Benedicto Dulle,TLP,176,Singida Mjini,Singida
MWENISONGOLE George Ranwell,CCM,40834,Mbozi,Songwe
PASCAL Yohana Haonga,CHADEMA,18054,Mbozi,Songwe
NKUNYUNTILA Weston Siwale,CUF,261,Mbozi,Songwe
SIWALE Himidi Yaledi,ACT-Wazalendo,692,Momba,Songwe
CONDESTER Michael Sichalwe,CCM,31956,Momba,Songwe
NEEMA Victor Chisanga,CHADEMA,19771,Momba,Songwe
REDDY Julius Makuba,ACT-Wazalendo,290,Tunduma,Songwe
SILINDE David Ernest,CCM,43276,Tunduma,Songwe
FRANK George Mwakajoka,CHADEMA,12433,Tunduma,Songwe
GROLY John Mwaigomole,DEMOKRASIA MAKINI,114,Tunduma,Songwe
HASUNGA Japhet Ngailonga,CCM,38226,Vwawa,Songwe
MKISI Elias Fanueli,CHADEMA,17157,Vwawa,Songwe
ZEDI Selemani Jumanne,CCM,16920,Bukene,Tabora
LUMOLA Steven Maziku Kahumbi,CHADEMA,14373,Bukene,Tabora
DUNIA Juma Ally,ACT-Wazalendo,1226,Igalula,Tabora
VENANT Daud Protas,CCM,45792,Igalula,Tabora
MAGANGA Raymond William,CHADEMA,2027,Igalula,Tabora
FIDEL Hemed Christopher,ACT-Wazalendo,534,Igunga,Tabora
NGASSA Nicholaus George,CCM,28386,Igunga,Tabora
NGASSA Ganja Mboje,CHADEMA,11237,Igunga,Tabora
FRANK Mhundi Masunga,CUF,148,Igunga,Tabora
KASHASHA Exuper Alfred,NCCR-Mageuzi,36,Igunga,Tabora
JUMA Khalfan Mirembe,UMD,78,Igunga,Tabora
KWEZI Aloyce Andrew,CCM,35065,Kaliua,Tabora
SAMSONI Lazaro Barazingiza,CHADEMA,1295,Kaliua,Tabora
SAKAYA Magdalena Hamis,CUF,8187,Kaliua,Tabora
KASSANGA Nsango Mwalugaja,ACT-Wazalendo,400,Manonga,Tabora
GULAMALI Seif Khamis Said,CCM,22860,Manonga,Tabora
SHILOGILE Josephat Clement,CHADEMA,4453,Manonga,Tabora
DAUD Joseph Seleli,CUF,152,Manonga,Tabora
NSABI Anthony Sambali,ACT-Wazalendo,166,Nzega Mjini,Tabora
BASHE Hussein Mohammed,CCM,16082,Nzega Mjini,Tabora
MARY Andrew Atonga,CHADEMA,2663,Nzega Mjini,Tabora
SALUM Masudi Salum,CUF,102,Nzega Mjini,Tabora
MASELELE Ramadhani Abdalah,ACT-Wazalendo,1003,Sikonge,Tabora
JOSEPH George Kakunda,CCM,44258,Sikonge,Tabora
HIJJA Mohamed Chambala,CHADEMA,7260,Sikonge,Tabora
KATALA Abdalah Ibrahim,CUF,446,Sikonge,Tabora
MOHAMED Salum Khalfan,ACT-Wazalendo,1367,Tabora Kaskazini,Tabora
ATHUMAN Almas Maige,CCM,33410,Tabora Kaskazini,Tabora
MARTIN Mussa Daniel,CHADEMA,4569,Tabora Kaskazini,Tabora
KAPASHA Haji Kapasha,CUF,1255,Tabora Kaskazini,Tabora
HALIMA Mohamed Bakari,NCCR-Mageuzi,150,Tabora Kaskazini,Tabora
JOHARI Abdallah Makunga,UMD,106,Tabora Kaskazini,Tabora
MTEMELWA Msafiri Abdullahamani,ACT-Wazalendo,482,Tabora Mjini,Tabora
IRENE Anatory Katabwa,ADA-TADEA,526,Tabora Mjini,Tabora
EMMANUEL Adamson Mwakasaka,CCM,30083,Tabora Mjini,Tabora
HAWA Subira Mwaifunga,CHADEMA,21284,Tabora Mjini,Tabora
AKIDA Jamal Kabourou,CHAUMMA,93,Tabora Mjini,Tabora
MIRAMBO Camil Yusuph,CUF,860,Tabora Mjini,Tabora
LENGWE Said Lengwe,NCCR-Mageuzi,37,Tabora Mjini,Tabora
SALMA Husein Simbamwene,NLD,65,Tabora Mjini,Tabora
JOHN Robert Mswanyama,SAU,38,Tabora Mjini,Tabora
ZAMBIA Mustafa Mulenga,UDP,43,Tabora Mjini,Tabora
SITTA Margaret Simwanza,CCM,30391,Urambo,Tabora
PHILBERHT Saimon Macheyeki,CHADEMA,7375,Urambo,Tabora
PASCHAL John Koroti,CUF,813,Urambo,Tabora
MNGATWA Twaha Said,ADC,310,Handeni Mjini,Tanga
KWAGILWA Reuben Nhamanilo,CCM,15241,Handeni Mjini,Tanga
ANDREW James Stima,CHADEMA,296,Handeni Mjini,Tanga
SONIA Jumaa Magogo,CUF,6713,Handeni Mjini,Tanga
BAKARI Makame Semndili,TLP,31,Handeni Mjini,Tanga
DOYO Hassan Mohamed,ADC,3890,Handeni Vijijini,Tanga
SALLU John Marko,CCM,94900,Handeni Vijijini,Tanga
BASHIRI Ally Muya,CUF,4183,Handeni Vijijini,Tanga
MAIMUNA Said Kassim,ADC,18528,Kilindi,Tanga
KIGUA Omari Mohamed,CCM,61777,Kilindi,Tanga
GADSON Habibu Jaston,CHADEMA,1388,Kilindi,Tanga
TINKER Abusheikh Mdimu,CUF,643,Kilindi,Tanga
BAHATI Hamadi Chirwa,ACT-Wazalendo,304,Korogwe Mjini,Tanga
ALFRED James Kimea,CCM,16969,Korogwe Mjini,Tanga
WYNJONES Clarence Mwakolo,CHADEMA,2116,Korogwe Mjini,Tanga
AMINA Jumaa Magogo,CUF,1497,Korogwe Mjini,Tanga
JUMA Iddi Gao,ADA-TADEA,1810,Korogwe Vijijini,Tanga
PILI Mohamedi Majeshi,ADC,1157,Korogwe Vijijini,Tanga
TIMOTHEO Paul Mnzava,CCM,48078,Korogwe Vijijini,Tanga
AMINATA AS Saguti,CHADEMA,12092,Korogwe Vijijini,Tanga
MAGOGO Hassan Jumaa,CUF,1339,Korogwe Vijijini,Tanga
MWAJABU Athumani Dhahabu,ACT-Wazalendo,1163,Lushoto,Tanga
SHABANI Omari Shekilindi,CCM,20799,Lushoto,Tanga
MBELWA Walter Germano,CHADEMA,4089,Lushoto,Tanga
MSHANGAMA Ismail Abdi,NCCR-Mageuzi,3246,Lushoto,Tanga
REHEMA Ally Mohamedi,ACT-Wazalendo,4025,Mkinga,Tanga
KITANDULA Dunstan Luka,CCM,19808,Mkinga,Tanga
BENDERA Jumaa Ally,CHADEMA,1733,Mkinga,Tanga
NURU Awadh Bafadhili,CUF,9285,Mkinga,Tanga
EMMANUEL Laurent Mnkai,ACT-Wazalendo,1671,Mlalo,Tanga
SHANGAZI Rashid Abdallah,CCM,46632,Mlalo,Tanga
SHEKIONDO Amiri Mohamed,CHADEMA,2803,Mlalo,Tanga
JAMILA Ally Mwakilachile,ACT-Wazalendo,1223,Muheza,Tanga
MWANA FA Hamis Mohamed,CCM,47578,Muheza,Tanga
YOSEPHER Ferdinand Komba,CHADEMA,12038,Muheza,Tanga
JUMA Peter Nindi,CUF,362,Muheza,Tanga
MHINA Peter Mhina,UDP,194,Muheza,Tanga
UMMY Ally Mwalimu,CCM,114445,Tanga Mjini,Tanga
MUSSA Bakari Mbarouk,CUF,7497,Tanga Mjini,Tanga
